tenure,Contract,OnlineSecurity,TechSupport,MonthlyCharges,TotalCharges,SeniorCitizen,PaymentMethod,Probabilidad_Fuga,Nivel_Riesgo,Impacto_Mensual
7,0,0,0,99.25,665.45,1,2,0.9020363111103336,Alto,99.25
4,0,0,0,99.8,442.85,1,1,0.8943613619920551,Alto,99.8
1,0,0,0,95.1,95.1,1,2,0.893735596336515,Alto,95.1
1,0,0,0,69.75,69.75,1,2,0.8734216915930498,Alto,69.75
1,0,0,0,69.6,69.6,1,2,0.8734216915930498,Alto,69.6
1,0,0,0,76.4,76.4,1,3,0.8724877998031947,Alto,76.4
1,0,0,0,77.15,77.15,0,2,0.8704138742820899,Alto,77.15
1,0,0,0,76.35,76.35,0,2,0.8704138742820899,Alto,76.35
1,0,0,0,93.3,93.3,0,2,0.8696024071706582,Alto,93.3
1,0,0,0,85.05,85.05,1,2,0.8681940113466413,Alto,85.05
1,0,0,0,69.25,69.25,1,2,0.8657080970710601,Alto,69.25
1,0,0,0,75.7,75.7,0,2,0.8630221441329685,Alto,75.7
1,0,0,0,95.65,95.65,0,3,0.8598482982454491,Alto,95.65
3,0,0,0,94.85,335.75,1,2,0.8560660608257967,Alto,94.85
1,0,0,0,80.0,80.0,0,2,0.8560025279265615,Alto,80.0
1,0,0,0,80.5,80.5,0,2,0.8515751156123296,Alto,80.5
4,0,0,0,89.2,346.2,1,2,0.8478756119719428,Alto,89.2
1,0,0,0,88.35,88.35,0,2,0.8467882404802198,Alto,88.35
1,0,0,0,78.8,78.8,0,2,0.841767947946611,Alto,78.8
1,0,0,0,25.2,25.2,1,2,0.8388900856750899,Alto,25.2
1,0,0,0,25.05,25.05,1,2,0.8388900856750899,Alto,25.05
3,0,0,0,96.6,291.9,0,2,0.8369686784364059,Alto,96.6
1,0,0,0,90.85,90.85,0,1,0.8355520745307443,Alto,90.85
1,0,0,0,80.05,80.05,0,3,0.8303704595478807,Alto,80.05
6,0,0,0,95.75,573.75,1,2,0.8287887111760487,Alto,95.75
9,0,0,0,99.3,918.75,0,1,0.8285363505618043,Alto,99.3
3,0,0,0,100.95,329.95,0,2,0.8275231252408047,Alto,100.95
1,0,0,0,75.3,75.3,0,2,0.8274227047328909,Alto,75.3
1,0,2,0,102.45,102.45,0,2,0.8265263069844763,Alto,102.45
7,0,0,0,96.2,639.7,0,2,0.826185089588586,Alto,96.2
1,0,0,0,89.55,89.55,0,2,0.8256240612230014,Alto,89.55
1,0,0,0,69.9,69.9,0,2,0.8223926702145401,Alto,69.9
1,0,0,0,69.9,69.9,0,2,0.8223926702145401,Alto,69.9
1,0,0,0,25.05,25.05,1,3,0.8201944194795318,Alto,25.05
6,0,0,0,105.3,545.2,0,2,0.8197620814061644,Alto,105.3
1,0,0,0,79.35,79.35,0,0,0.8157722540880219,Alto,79.35
3,0,0,0,95.4,293.15,0,2,0.8147428306756181,Alto,95.4
3,0,0,0,94.9,273.2,0,2,0.8147428306756181,Alto,94.9
10,0,0,0,94.9,1048.85,0,2,0.8143621470197089,Alto,94.9
1,0,0,0,74.5,74.5,0,2,0.8106394628090916,Alto,74.5
1,0,0,0,74.5,74.5,0,2,0.8106394628090916,Alto,74.5
1,0,0,0,71.65,71.65,0,2,0.8099698801800984,Alto,71.65
1,0,0,0,71.35,71.35,0,2,0.8099698801800984,Alto,71.35
1,0,0,0,70.6,70.6,0,2,0.8099698801800984,Alto,70.6
1,0,0,0,70.35,70.35,0,2,0.8099698801800984,Alto,70.35
1,0,0,0,70.25,70.25,0,2,0.8099698801800984,Alto,70.25
